snake	1575	1	1
snake	1581	2	2
snake	1588	2	1
snake	1590	2	2
snake	1592	1	1
snake	1593	1	1
snake	1598	1	1
snake	1603	1	1
snake	1607	1	1
snake	1620	3	1
snake	1624	3	1
snake	1630	1	1
snake	1634	15	3
snake	1635	1	1
snake	1653	1	1
snake	1657	2	2
snake	1658	4	3
snake	1662	1	1
snake	1667	2	2
snake	1669	4	1
snake	1671	1	1
snake	1672	5	3
snake	1676	2	2
snake	1678	3	1
snake	1679	2	2
snake	1680	1	1
snake	1681	2	2
snake	1682	4	4
snake	1683	4	4
snake	1684	4	3
snake	1685	3	2
snake	1686	3	3
snake	1687	1	1
snake	1688	1	1
snake	1689	3	3
snake	1691	1	1
snake	1692	2	1
snake	1693	2	2
snake	1695	2	2
snake	1697	2	1
snake	1698	2	2
snake	1699	3	3
snake	1700	7	5
snake	1701	3	3
snake	1702	2	2
snake	1703	8	5
snake	1704	3	3
snake	1705	8	6
snake	1706	3	3
snake	1707	2	2
snake	1708	6	6
snake	1709	9	6
snake	1710	2	2
snake	1711	6	6
snake	1712	5	5
snake	1713	4	2
snake	1714	4	4
snake	1715	3	3
snake	1716	5	4
snake	1717	10	7
snake	1718	2	2
snake	1720	8	8
snake	1721	2	2
snake	1722	7	7
snake	1723	10	7
snake	1724	7	6
snake	1725	13	11
snake	1726	5	5
snake	1727	10	8
snake	1728	3	3
snake	1729	12	9
snake	1730	9	9
snake	1731	6	6
snake	1732	4	4
snake	1733	2	2
snake	1734	8	7
snake	1735	3	3
snake	1736	6	5
snake	1737	30	7
snake	1738	48	8
snake	1739	5	5
snake	1740	2	2
snake	1741	5	5
snake	1742	13	8
snake	1743	16	10
snake	1744	18	11
snake	1745	17	14
snake	1746	74	4
snake	1747	28	6
snake	1748	14	12
snake	1749	7	7
snake	1750	7	7
snake	1751	14	14
snake	1752	20	10
snake	1753	26	11
snake	1754	42	26
snake	1755	30	22
snake	1756	10	10
snake	1757	20	11
snake	1758	43	20
snake	1759	15	15
snake	1760	74	30
snake	1761	22	20
snake	1762	44	14
snake	1763	43	27
snake	1764	60	35
snake	1765	95	37
snake	1766	70	27
snake	1767	77	28
snake	1768	74	44
snake	1769	59	29
snake	1770	61	40
snake	1771	95	29
snake	1772	31	22
snake	1773	32	21
snake	1774	78	31
snake	1775	62	27
snake	1776	78	26
snake	1777	40	26
snake	1778	43	21
snake	1779	42	15
snake	1780	62	30
snake	1781	63	23
snake	1782	104	39
snake	1783	48	32
snake	1784	109	39
snake	1785	66	32
snake	1786	52	33
snake	1787	93	40
snake	1788	87	39
snake	1789	76	39
snake	1790	99	47
snake	1791	126	49
snake	1792	150	50
snake	1793	124	51
snake	1794	159	63
snake	1795	126	48
snake	1796	288	80
snake	1797	135	86
snake	1798	213	71
snake	1799	235	74
snake	1800	343	99
snake	1801	389	167
snake	1802	453	99
snake	1803	475	134
snake	1804	371	134
snake	1805	345	123
snake	1806	456	169
snake	1807	876	220
snake	1808	537	192
snake	1809	415	176
snake	1810	494	179
snake	1811	443	217
snake	1812	670	161
snake	1813	478	187
snake	1814	603	214
snake	1815	505	217
snake	1816	684	211
snake	1817	803	224
snake	1818	865	264
snake	1819	903	270
snake	1820	736	261
snake	1821	1000	248
snake	1822	1226	380
snake	1823	1051	356
snake	1824	1171	394
snake	1825	1359	449
snake	1826	771	311
snake	1827	1091	333
snake	1828	1108	396
snake	1829	874	363
snake	1830	1213	472
snake	1831	1234	456
snake	1832	1562	464
snake	1833	1388	411
snake	1834	1645	563
snake	1835	1798	582
snake	1836	1245	512
snake	1837	1350	487
snake	1838	1461	521
snake	1839	2263	555
snake	1840	1448	523
snake	1841	1443	579
snake	1842	1114	464
snake	1843	1522	520
snake	1844	1520	544
snake	1845	1581	630
